id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
548380296217031492,weforyou LOS ALAMOS 3 - 800M FROM THE BEACH,233932942,Susana Y Diego,,Churriana,36.645676,-4.487742,Entire home/apt,55,3,2,2022-05-04,0.36,2,344,2,VFT/MA/35320
699016803557832345,Precioso estudio recién reformado con piscina.,43204423,Fco Javier,,Churriana,36.63874615466042,-4.49449243068847,Entire home/apt,60,2,2,2022-09-11,2,1,89,2,VFT/MA/53640
23392596,Cozy Loft Torremolinos,174398664,Mª Ángeles,,Churriana,36.63338,-4.49204,Entire home/apt,68,3,12,2022-09-17,0.22,3,84,4,VFT/MA/19381
51220643,Spectacular ground floor with garden on the beachfront,412133526,Seafront,,Churriana,36.644241,-4.479371,Entire home/apt,270,2,8,2022-09-23,0.69,2,338,8,HUTVA-000545-98
39599636,Los Álamos Penthouse,117240949,Loes,,Churriana,36.63718,-4.49292,Entire home/apt,143,5,10,2022-09-21,0.39,3,30,6,VFT-MA-15129
51220660,Spectacular on the 1st line of the beach with panoramic front terrace,412133526,Seafront,,Churriana,36.64471,-4.48037,Entire home/apt,270,2,11,2022-09-11,0.95,2,336,11,HUTVA-000545-96
650670208458904813,Apartamento completo a 50m de la playa,296572911,Alicia,,Este,36.71531,-4.31133,Entire home/apt,85,2,0,,,1,287,0,VFT/MA/54110
672269995429122019,Linda Habitación Sala Privada Torremolinos,104278454,Alfredo,,Churriana,36.62599,-4.50162,Private room,250,1,0,,,4,365,0,Exempt
31491725,Estudio I moderno con vistas al mar/ prox. Airport,226191845,Oscar,,Churriana,36.63866,-4.49356,Entire home/apt,46,2,59,2022-09-20,1.34,6,149,15,VTF/MA/16328
49641921,EDEN BEACH APARTMENT,147998581,Olivia,,Churriana,36.63257,-4.48718,Entire home/apt,193,3,53,2022-08-26,3.14,2,327,38,VTF/MA/44194
32891502,"Playa Los Alamos, el lugar de moda en Torremolinos",247452887,Katiuska,,Churriana,36.64403,-4.47866,Entire home/apt,109,6,26,2022-09-20,0.62,1,135,12,VFT/MA/29228
33233167,"Stunning villa, 6 beds, 5 baths, wifi, pool, BBQ.",106476095,Comares Holiday Properties S.L.,,Este,36.83965,-4.24365,Entire home/apt,140,7,14,2022-09-27,0.35,3,335,6,VTAR/MA/02686
21704040,"Beautiful Villa, pool, BBQ, aircon, wifi, views!",106476095,Comares Holiday Properties S.L.,,Este,36.8455,-4.25649,Entire home/apt,157,7,14,2022-07-16,0.26,3,289,6,VTAR/MA/02477
54328552,Luxurious Newly Renovated 1-Bedroom Apartment,18550384,David,,Churriana,36.62554,-4.49979,Entire home/apt,44,1,39,2022-09-26,5.71,4,276,39,VFT/MA/47473
52909275,Toro - Frontline|Spa|Gym|Pool,390947818,ViVi Holiday,,Churriana,36.64292,-4.48054,Entire home/apt,150,1,9,2022-08-27,1.26,14,334,9,VFT/MA/46717
23978688,3-Bdroom Flat Parking WiFi Torremolinos,180361586,Pepe,,Churriana,36.62484,-4.5021,Entire home/apt,100,2,149,2022-09-24,2.71,1,249,35,VFT/MA/18866
39272109,TORREMORA LOFT,76582037,Adrián Y Rocío,,Churriana,36.64296,-4.49915,Entire home/apt,62,2,20,2021-08-06,0.56,1,2,0,CTC-2019188731
38124560,Bonito apartamento en 1a línea de Playa,160133987,Silvia,,Churriana,36.62346,-4.49473,Entire home/apt,125,45,2,2019-12-31,0.06,1,214,0,VFT/MA/09529
34896116,Well-located & Nice Views 2BDR Apt in Los Álamos,263020902,Ignacio,,Churriana,36.64254,-4.48351,Entire home/apt,74,4,33,2022-09-03,0.81,1,216,7,VFT/MA/36989
2396000,Great villa in Torremolinos with heated pool,12239638,Antonio,,Churriana,36.64608,-4.48593,Entire home/apt,238,7,61,2022-08-29,0.61,2,294,10,VFT/MA/965
53240759,"Studio at Torremolinos, 500 m away from the beach with shared pool and enclosed garden",431036286,"Loic, Estelle And Co",,Churriana,36.639236,-4.494372,Entire home/apt,48,1,0,,,1,364,0,VFT/MA/21328
581855645186778608,Luminoso y tranquilo apartamento  junto al mar,449399140,Fuensanta,,Churriana,36.642391,-4.483316,Entire home/apt,129,4,7,2022-09-11,1.27,1,362,7,VFT/MA/50043
610847446969666888,Modern sunny studio with spacious balcony,67614849,Georgi,,Churriana,36.620941,-4.502768,Entire home/apt,67,3,23,2022-09-26,4.57,1,159,23,VFT/MA/43812
